group_name,url,status,thumbnail,description
!TROCAS DE TRES TONELADAS!!ford f350 Silverado 3500 Ram 4000!!,https://www.facebook.com/groups/350149943264170/,Public · 107K members · 10+ posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/331308315_1348454249329554_6557101598308065686_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RlyXexVghAEAX9N0XWs&_nc_ht=scontent-ord5-2.xx&oh=00_AfDzyD1Mh7E22lOHniuJG2SHDDKLFGOyP_2vINmsRyEQBA&oe=6601EC0C,Trocas de tres toneladas
00-02 Chevrolet Silverado 15-2500hd,https://www.facebook.com/groups/255693090526123/,Public · 177 members · 6 posts a month,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/360172066_123982174082450_1035104799100962394_n.jpg?stp=c11.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EC45BTVWtQcAX9gyoTc&_nc_ht=scontent-ord5-1.xx&oh=00_AfCRfN_WRtHlmPKBUI3HkuFvZgJ3eLQP1jqkAqsaHqvWpA&oe=66009C10,No Description
00-02 Chevrolet Silverado 15-2500hd,https://www.facebook.com/groups/255693090526123/,Public · 177 members · 6 posts a month,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/360172066_123982174082450_1035104799100962394_n.jpg?stp=c11.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EC45BTVWtQcAX9gyoTc&_nc_ht=scontent-ord5-1.xx&oh=00_AfCRfN_WRtHlmPKBUI3HkuFvZgJ3eLQP1jqkAqsaHqvWpA&oe=66009C10,No Description
07-13 Chevrolet Silverado 1500 Car Owners & Parts for Sale (Buy / Sell / Tr,https://www.facebook.com/groups/627665240714680/,Public · 2.4K members · 10 posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t1.30497-1/116687302_959241714549285_318408173653384421_n.jpg?stp=cp0_dst-jpg_p60x60&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_AiauEvJT5MAX8QWnAJ&_nc_ht=scontent-ord5-2.xx&oh=00_AfAUMoZqf9eE1esXlxAcqsqbLoo1n99fZHEP7zV3MHrH7A&oe=662409C3,No Description
07-13 Chevrolet Silverado 1500 Car Owners & Parts for Sale (Buy / Sell / Tr,https://www.facebook.com/groups/627665240714680/,Public · 2.4K members · 10 posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t1.30497-1/116687302_959241714549285_318408173653384421_n.jpg?stp=cp0_dst-jpg_p60x60&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_AiauEvJT5MAX8QWnAJ&_nc_ht=scontent-ord5-2.xx&oh=00_AfAUMoZqf9eE1esXlxAcqsqbLoo1n99fZHEP7zV3MHrH7A&oe=662409C3,No Description
07-19 Gmc Sierra/Chevrolet Silverado,https://www.facebook.com/groups/1192875884518510/,Public · 28K members · 10+ posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/409139238_1718817985258694_6427211706716869484_n.jpg?stp=c0.7.64.64a_cp0_dst-jpg_p64x64&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=y0QfO96Fja4AX838D_P&_nc_ht=scontent-ord5-2.xx&oh=00_AfAEfBs6hBpE3Lxw9fRtUPnXagdVlqRk55VwRbHQD7kSUA&oe=6601F6E1,If you own or like these year model trucks follow the group.
07-19 Gmc Sierra/Chevrolet Silverado,https://www.facebook.com/groups/1192875884518510/,Public · 28K members · 10+ posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/409139238_1718817985258694_6427211706716869484_n.jpg?stp=c0.7.64.64a_cp0_dst-jpg_p64x64&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=y0QfO96Fja4AX838D_P&_nc_ht=scontent-ord5-2.xx&oh=00_AfAEfBs6hBpE3Lxw9fRtUPnXagdVlqRk55VwRbHQD7kSUA&oe=6601F6E1,If you own or like these year model trucks follow the group.
"1967-1977 Ford F250 Highboys, 1977.5-79 F250 Lowboys, and other Ford 4x4's",https://www.facebook.com/groups/411809902172974/,Private · 10K members · 4 posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/430028986_10161046150105664_1445367916015272501_n.jpg?stp=cp0_dst-jpg_p64x64&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=A9e610XE-xgAX8Pp-hg&_nc_ht=scontent-ord5-2.xx&oh=00_AfCQpBsZWCSTLSrIH9UzGC9qtZi5aWbTdCgt148T2xO_ig&oe=6600A632,This group is here so you all can talk about your Ford Highboys or Lowboys. If they have questions about what's wrong with your truck. Or simply just post pics of your truck and show that beauty off.
1973 to 78 ford f250,https://www.facebook.com/groups/1981701198831888/,Public · 511 members · 8 posts a month,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/334971844_196225779709658_7218526990187514383_n.jpg?stp=c25.0.64.64a_cp6_dst-jpg_p64x64&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wnel42Z3Ds8AX9FIavM&_nc_ht=scontent-ord5-2.xx&oh=00_AfAznM_WdrAzC4VQSvNuT4Ryr0vQaLZgSkHP6XDTMhEJZA&oe=66023DAD,No Description
1980-1996 FORD F150/F250/F350 TRUCKS & PARTS,https://www.facebook.com/groups/1444572709093444/,Public · 7.7K members · 2 posts a day,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/406448765_10228549528898202_4978464738845474623_n.jpg?stp=c51.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yj6j9rVMOGEAX9FTTxG&_nc_ht=scontent-ord5-1.xx&oh=00_AfDrn3b-mZsuH4zLqPnaVFSn897XoYCSHx990g_iX2QGoA&oe=6600952A,No Description
