__id__,Bot,Duplicate,Host,Image,Link,Location,Miles,Posted,Price,Profile,Scraped,Send,Short,Task,TextId,Title,Uploaded
WumQrnFo5clSqeg8Ng6W,gadadaasterah,FALSE,Bot-Host-1,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/415621110_7231504573573289_2728004126271080715_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=Lcbgdq_3PeYAX9iScTM&_nc_ht=scontent-iad3-2.xx&oh=00_AfAQGYTSv42Ru04KG1xg4sFvT7TCq0EO69g33xLAneISsQ&oe=65978EF8,https://www.facebook.com/marketplace/item/379038001296395,"Dubuque, Iowa",54000,1704105226,"$16,000",facebook.com,1704105226,TRUE,searchhammer.com/?r=sHRqlu1iF88WLM1gwkEl,Chevrolet Silverado 2500,sHRqlu1iF88WLM1gwkEl,2005 Chevrolet Silverado 2500 HD Extended Cab · 4x4,2024-01-01T11:01:37.889Z
d6Dq1rbpXTVA8JM7LEha,tomojiadanmaa,FALSE,Bot-Host-1,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/415516486_3730959583813269_3605970506789960345_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-7&_nc_sid=6b907e&_nc_ohc=QY5p_PPx1rMAX8bYRhc&_nc_ht=scontent-atl3-2.xx&oh=00_AfCzgfXdU2-guJnLp6MbkY7dNDkEtr_tkXzFVuI4prGcwg&oe=6596DC11,https://www.facebook.com/marketplace/item/876476357483876,"Strafford, Missouri",12345,1704083617,"$14,000",facebook.com,1704083617,TRUE,searchhammer.com/?r=YchATC449HMO15Wn9dtA,Chevrolet Silverado 3500,YchATC449HMO15Wn9dtA,2006 GMC Sierra 3500 Crew Cab · SLT Pickup 4D 8 ft,2024-01-01T11:02:34.844Z
10ZPuMU3HFAOBhSTmEum,CarscomUser2,FALSE,BOT-HOST-11,https://www.cars.com/i/large/in/v2/3849d909-51eb-5d3d-b507-8a69cea153e7/062c2016-2d34-466c-b5fb-ccbb046e8a2a/PsDaexK0Wc5TPaCR7Rikg5UZavU.jpg,https://www.cars.com/vehicledetail/90b05505-03cb-4747-ad67-613f5e2890c3/,Fair Deal,"117,730 mi.",,"$27,997",Cars.com,1/1/2024 5:06:03 AM,TRUE,https://searchhammer.com?r=ie5m15kMtEOE2KyTAVBkIg,CDC Dodge Ram 2500-3500-D Series,ie5m15kMtEOE2KyTAVBkIg,2007 Dodge Ram 2500 Big Horn,2024-01-01T11:06:03.830Z
BMBJvomzqnXPS9fYMB8I,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/414963562_10232474955639711_9100492416066149452_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=6b907e&_nc_ohc=9fvkzLr8bHsAX_-QmoG&_nc_ht=scontent-atl3-1.xx&oh=00_AfAvqGj4b0RaHvWnyTdXCdakRwQ7F_MedKFLCHzeLToIpQ&oe=65977765,https://www.facebook.com/marketplace/item/1028701221549682,"Ellsworth, Wisconsin",123456,1704082787,$500,facebook.com,1704082787,TRUE,searchhammer.com/?r=Ke63lVchM2YO0c3IR1Rj,Dodge Ram 2500,Ke63lVchM2YO0c3IR1Rj,2001 Dodge Ram 2500,2024-01-01T11:06:11.305Z
Csqdxwu5D83TM8ukkdzU,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/415872432_1136561457314637_4913107114329577909_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=6b907e&_nc_ohc=eIEtC3p_gxEAX-vkzKY&_nc_ht=scontent-atl3-1.xx&oh=00_AfBImEXXZSPKrijtdRoH2xcYWQcOqzUuAxQddn8fUFLstg&oe=65982A5A,https://www.facebook.com/marketplace/item/278512418556086,"Carson, California",17501,1704084734,"$5,400",facebook.com,1704084734,TRUE,searchhammer.com/?r=KvC2UxLM9YlQeFpfol0E,Dodge Ram 2500,KvC2UxLM9YlQeFpfol0E,1994 Dodge Ram 2500 · Long Bed,2024-01-01T11:06:11.305Z
DnEwMM6yjLi1topjNvjE,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/416096818_1070194204182880_6782776254420091406_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=EVwjPKhSzd8AX8RjQkX&_nc_oc=AQnpZYuzuK-PTSEB30knjjkNjOvICQyVD5veV8nG0cDAHzjMx7LvIIr5haRJXoEDOeI&_nc_ht=scontent-atl3-1.xx&oh=00_AfBbDRjj_2iBe7e1WxIn0xrbVk3GC9RaGh1uA0F7Rc-Ojw&oe=65984D2A,https://www.facebook.com/marketplace/item/693703859517391,"Rome, New York",10000,1704088724,$700,facebook.com,1704088724,TRUE,searchhammer.com/?r=ca8go8YvH4HDZt6xvFEY,Dodge Ram 2500,ca8go8YvH4HDZt6xvFEY,2001 Dodge Ram 2500 · Long Bed,2024-01-01T11:06:11.305Z
HZCRhDPAfiQiC2xApejh,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/415469302_305928632438621_3104061824508385605_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=6b907e&_nc_ohc=cUzNSi-ThgIAX8HVWpY&_nc_ht=scontent-atl3-1.xx&oh=00_AfDDaFsdC96AWdsVpVnKKTP28uSpes9s2-_B_95pQ37Gqg&oe=65981BE0,https://www.facebook.com/marketplace/item/709351654628529,"Montello, Wisconsin",107000,1704089196,"$16,500",facebook.com,1704089196,TRUE,searchhammer.com/?r=qiiG3q5FKOQzTJQ8lWup,Dodge Ram 2500,qiiG3q5FKOQzTJQ8lWup,2001 Dodge Ram 2500 Quad Cab · Short Bed,2024-01-01T11:06:11.305Z
UrhjRkU80qf5FP5vZHz3,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/415307379_393996426630214_9189218081657294648_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=heN0X5e4s_EAX8swwX8&_nc_ht=scontent-atl3-1.xx&oh=00_AfAlDIZDKLLxfLRZn_SkMUgAmJfdMBpFrZ1qnww7OlURvg&oe=6596ADA6,https://www.facebook.com/marketplace/item/1053624555902215,"Coram, New York",68000,1704097629,"$15,000",facebook.com,1704097629,TRUE,searchhammer.com/?r=5XWcptr2ItrreojfTTD6,Dodge Ram 2500,5XWcptr2ItrreojfTTD6,2007 Dodge Ram 2500 · SLT Pickup 2D 8 ft,2024-01-01T11:06:11.305Z
i4V4lJFl9jR1y7hJOreh,tooledom587308,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/414970023_1619075202163840_1170234408298083165_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=6b907e&_nc_ohc=VtwxiHYc2u0AX8PXGhZ&_nc_ht=scontent-atl3-1.xx&oh=00_AfBa1p0nxdGAbwAeIv_2n7VoVnS9ohEBrajgO-uiDSvgnw&oe=65969D02,https://www.facebook.com/marketplace/item/1033825261242681,"Tacoma, Washington",100000,1704087958,"$6,500",facebook.com,1704087958,TRUE,searchhammer.com/?r=djJ3llJAyRkdyMERBEds,Dodge Ram 2500,djJ3llJAyRkdyMERBEds,1996 Dodge Ram 2500 Regular Cab · Long Bed,2024-01-01T11:06:11.305Z
XJS8Z2k4WkmDtrsw9nm0,nsilaaribakr,FALSE,Bot-Host-1,https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-6/416130381_1422486498622933_6449624106966630858_n.jpg?stp=dst-jpg_p720x720&_nc_cat=102&ccb=1-7&_nc_sid=6b907e&_nc_ohc=FKrxmRVpDhAAX_kfJRi&_nc_ht=scontent-lax3-1.xx&cb_e2o_trans=t&oh=00_AfAllvwdw3ODmiT1a6Ks5kvhn4a3ARiZRMS8T_uI2LMM4g&oe=65980FB2,https://www.facebook.com/marketplace/item/732778001783743,"Baton Rouge, Louisiana",10075,1704096794,"$6,000",facebook.com,1704096794,TRUE,searchhammer.com/?r=l6C6T7B4FL2E9tWlZn65,Dodge Ram 3500,l6C6T7B4FL2E9tWlZn65,2005 Dodge Ram 3500 Quad Cab,2024-01-01T11:07:38.422Z
DA6rfzVewnBggpzZiDMU,aljenmomenh,FALSE,Bot-Host-1,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/415958228_349332107819889_7635922261680205860_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&cb=99be929b-b574a898&ccb=1-7&_nc_sid=6b907e&_nc_ohc=zM9TR8eInRkAX_SuXQ_&_nc_ht=scontent-lax3-2.xx&oh=00_AfC7iAXjVze1955Vttc0VgHvWSVzdtf6LGux4BrwKChAGQ&oe=6597EE60,https://www.facebook.com/marketplace/item/1462109327981230,"Zanesfield, Ohio",150000,1704094385,"$5,500",facebook.com,1704094385,TRUE,searchhammer.com/?r=vKv9omPKrBuZehWfL3pj,Ford F-250,vKv9omPKrBuZehWfL3pj,2001 Ford F250 Super Duty Regular Cab · Long Bed,2024-01-01T11:08:40.757Z
TJgmCTCJ9bIUDGEHlbI9,aljenmomenh,FALSE,Bot-Host-1,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/414471534_4275688146090389_5934264461527781690_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&cb=99be929b-b574a898&ccb=1-7&_nc_sid=6b907e&_nc_ohc=X_dW9kcUJiYAX-MeqLE&_nc_ht=scontent-lax3-2.xx&oh=00_AfC2qqBAekBiuWIm6Z1G-RASBkFIWuy8wwZRfsSdANkzIw&oe=6597F601,https://www.facebook.com/marketplace/item/1063831401601386,"Sunrise Manor, Nevada",140000,1704096846,"$9,500",facebook.com,1704096846,TRUE,searchhammer.com/?r=znVjkF08HQZVFJBug6jG,Ford F-250,znVjkF08HQZVFJBug6jG,2003 Ford F250 Super Duty Crew Cab,2024-01-01T11:08:40.757Z
eits9N3oqYKLqXkRVkT5,aljenmomenh,FALSE,Bot-Host-1,https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-6/415897965_902110198256833_5906091060763734305_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&cb=99be929b-b574a898&ccb=1-7&_nc_sid=6b907e&_nc_ohc=OrTN-kVQidwAX_7XPMR&_nc_ht=scontent-lax3-1.xx&oh=00_AfBy2aAFPsgCp9_8B-2tlHQFIMiO75nU4KMPO2TbnKL6Xg&oe=6596B7D3,https://www.facebook.com/marketplace/item/1415411362743619,"Monmouth, Illinois",150000,1704086182,"$3,000",facebook.com,1704086182,TRUE,searchhammer.com/?r=hLdCOJ7ZiBMw05s914Zy,Ford F-250,hLdCOJ7ZiBMw05s914Zy,2004 Ford F250 Super Duty Crew Cab · XLT Pickup 4D 6 3/4 ft,2024-01-01T11:08:40.757Z
5xwbEMm21DYhc7zsfOnS,CarGurusUser12,FALSE,BOT-HOST-11,https://static.cargurus.com/images/forsale/2024/01/01/01/30/2004_dodge_ram_3500-pic-4208283963490423674-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,https://www.cargurus.com/Cars/inventorylisting/vdp.action?#listing=375247200/NONE/DEFAULT,"Lakewood, WA (1709 mi away)","116,035 mi",,"$27,999",CarGurus,1/1/2024 5:08:42 AM,TRUE,https://searchhammer.com?r=V3q9rWgn3kOu_qQLleQLsw,CG Dodge Ram 3500,V3q9rWgn3kOu_qQLleQLsw,2004 Dodge RAM 3500 SLT Quad Cab LB RWD,2024-01-01T11:08:42.422Z
PXxx9Wwwg0FrRTkBUAsA,CarGurusUser12,FALSE,BOT-HOST-11,https://static.cargurus.com/images/forsale/2023/12/29/12/03/2009_dodge_ram_3500-pic-3764980415004000953-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,https://www.cargurus.com/Cars/inventorylisting/vdp.action?#listing=375063737/PRIORITY/DEFAULT,"Troutdale, OR (1691 mi away)","114,429 mi",,"$31,990",CarGurus,1/1/2024 5:08:42 AM,TRUE,https://searchhammer.com?r=W-p3rZupg0qTkifgmzTR7Q,CG Dodge Ram 3500,W-p3rZupg0qTkifgmzTR7Q,2009 Dodge RAM 3500 Laramie Quad Cab 4WD,2024-01-01T11:08:42.470Z
VTfyUdZcmRsLEH2kLk5G,erinysumbayn,FALSE,Bot-Host-1,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/414996679_4275690822756788_2955038269239670695_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=6b907e&_nc_ohc=NfoMqA2zCoAAX-wtA1H&_nc_ht=scontent-iad3-1.xx&oh=00_AfAU3gVVtQScgTP33sV-JEXpL8R08WReICEo_bUt8rNyIw&oe=6597EBE1,https://www.facebook.com/marketplace/item/285470650782930,"Sunrise Manor, Nevada",150000,1704097071,"$10,500",facebook.com,1704097071,TRUE,searchhammer.com/?r=DLOQvoviG7XQZonSzku7,Ford F-350,DLOQvoviG7XQZonSzku7,2003 Ford F350 Super Duty Crew Cab · XLT Pickup 4D 8 ft,2024-01-01T11:09:52.191Z
afDCvQ9f5icKWucJR9Pj,DorisRamos,FALSE,Bot-Host-3,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/416029656_206827235842879_533123425879055159_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=6b907e&_nc_ohc=MdHWEiF3zsUAX_R7x9z&_nc_ht=scontent-atl3-2.xx&oh=00_AfAQSo5FJLMs0N92cLLkEenwPFUw954IfANiREOfKltXOA&oe=6596C307,https://www.facebook.com/marketplace/item/899748231822721,"Loving, New Mexico",100500,1704107681,"$3,000",facebook.com,1704107681,TRUE,searchhammer.com/?r=o8FZF7ljbeZa3UPbgzwm,Chevrolet Silverado 2500,o8FZF7ljbeZa3UPbgzwm,2007 Chevrolet Silverado (Classic) 2500 HD Crew Cab,2024-01-01T11:16:45.354Z
K4AwbPy9Jhil7KsxEeCS,yigaelfaktas,FALSE,Bot-Host-1,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/415919946_6966059746764835_1866171691276667922_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-7&_nc_sid=6b907e&_nc_ohc=OmGpaHcEj_QAX_-ybJe&_nc_ht=scontent-iad3-1.xx&oh=00_AfDlzxdPHGgrn--QGrmx6bnkTsWa6xCmz8m-pKsTH36K7g&oe=65979FBA,https://www.facebook.com/marketplace/item/1987865028254498,"Ontario, California",30122,1704083520,"$6,200",facebook.com,1704083520,TRUE,searchhammer.com/?r=2fJDsI5SD7wPW3lqMSQB,Ford F-350,2fJDsI5SD7wPW3lqMSQB,1999 Ford F350 Super Duty Crew Cab · Short Bed,2024-01-01T11:19:21.960Z
